Ligand_ID	Receptor_ID	TF_ID	Pathway	pathway_ID	Ligand_Symbol	Receptor_Symbol	TF_Symbol
1950	1956	26508	R-HSA-1643685_3,R-HSA-157118_2,R-HSA-9012852_2	R-HSA-1643685,R-HSA-157118,R-HSA-9012852	EGF	EGFR	HEYL
1950	2064	26508	R-HSA-1643685_4	R-HSA-1643685	EGF	ERBB2	HEYL
1950	2065	26508	R-HSA-1643685_4	R-HSA-1643685	EGF	ERBB3	HEYL
1950	2066	26508	R-HSA-1643685_4	R-HSA-1643685	EGF	ERBB4	HEYL
2069	1956	26508	R-HSA-1643685_3	R-HSA-1643685	EREG	EGFR	HEYL
2069	2064	26508	R-HSA-1643685_4	R-HSA-1643685	EREG	ERBB2	HEYL
2069	2065	26508	R-HSA-1643685_4	R-HSA-1643685	EREG	ERBB3	HEYL
2069	2066	26508	R-HSA-1643685_4	R-HSA-1643685	EREG	ERBB4	HEYL
2246	1956	26508	R-HSA-1643685_3	R-HSA-1643685	FGF1	EGFR	HEYL
2246	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF1	FGFR1	HEYL
2246	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF1	FGFR3	HEYL
2246	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF1	FGFR2	HEYL
2246	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF1	FGFR4	HEYL
2247	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF2	FGFR1	HEYL
2247	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF2	FGFR3	HEYL
2247	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF2	FGFR2	HEYL
2247	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF2	FGFR4	HEYL
2248	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF3	FGFR1	HEYL
2248	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF3	FGFR3	HEYL
2248	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF3	FGFR2	HEYL
2248	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF3	FGFR4	HEYL
2249	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF4	FGFR1	HEYL
2249	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF4	FGFR3	HEYL
2249	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF4	FGFR2	HEYL
2249	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF4	FGFR4	HEYL
2250	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF5	FGFR1	HEYL
2250	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF5	FGFR3	HEYL
2250	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF5	FGFR2	HEYL
2250	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF5	FGFR4	HEYL
2251	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF6	FGFR1	HEYL
2251	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF6	FGFR3	HEYL
2251	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF6	FGFR2	HEYL
2251	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF6	FGFR4	HEYL
2252	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF7	FGFR1	HEYL
2252	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF7	FGFR3	HEYL
2252	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF7	FGFR2	HEYL
2252	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF7	FGFR4	HEYL
2253	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF8	FGFR1	HEYL
2253	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF8	FGFR3	HEYL
2253	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF8	FGFR2	HEYL
2253	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF8	FGFR4	HEYL
2254	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF9	FGFR1	HEYL
2254	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF9	FGFR3	HEYL
2254	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF9	FGFR2	HEYL
2254	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF9	FGFR4	HEYL
2255	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF10	FGFR1	HEYL
2255	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF10	FGFR2	HEYL
2488	117	26508	R-HSA-1643685_9	R-HSA-1643685	FSHB	ADCYAP1R1	HEYL
2488	2492	26508	R-HSA-1643685_9	R-HSA-1643685	FSHB	FSHR	HEYL
2488	7253	26508	R-HSA-1643685_9	R-HSA-1643685	FSHB	TSHR	HEYL
26281	2260	26508	R-HSA-1643685_4	R-HSA-1643685	FGF20	FGFR1	HEYL
26281	2261	26508	R-HSA-1643685_4	R-HSA-1643685	FGF20	FGFR3	HEYL
26281	2263	26508	R-HSA-1643685_4	R-HSA-1643685	FGF20	FGFR2	HEYL
26281	2264	26508	R-HSA-1643685_4	R-HSA-1643685	FGF20	FGFR4	HEYL
2641	117	26508	R-HSA-1643685_9	R-HSA-1643685	GCG	ADCYAP1R1	HEYL
